Sample ID;Location ;Species ;Tube
Ba20_KC_P01;Bafoussam ;Ae. africanus;1
Ba20_KC_P02;Bafoussam ;Ae. africanus;1
Ba20_KC_P03;Bafoussam ;Ae. africanus;2
Ba20_KC_P04;Bafoussam ;Ae. africanus;2
Ba20_KC_P05;Bafoussam ;Ae. africanus;3
Ba20_KC_P06;Bafoussam ;Ae. africanus;3
Ba20_KC_P07;Bafoussam ;Ae. africanus;4
Ba20_KC_P08;Bafoussam ;Ae. africanus;4
Ba20_KC_P09;Bafoussam ;Ae. africanus;5
Ba20_KC_P10;Bafoussam ;Ae. africanus;5
Ba20_KC_P11;Bafoussam ;Ae. africanus;6
Ba20_KC_P12;Bafoussam ;Ae. africanus;6
Ba20_KC_P13;Bafoussam ;Ae. africanus;7
Ba20_KC_P14;Bafoussam ;Ae. africanus;7
Ed20_KC_P15;Edea;Ae. albopictus ;8
Ed20_KC_P16;Edea;Ae. albopictus ;8
Ed20_KC_P17;Edea;Ae. albopictus ;9
Ed20_KC_P18;Edea;Ae. albopictus ;9
Ed20_KC_P19;Edea;Ae. albopictus ;10
Ed20_KC_P20;Edea;Ae. albopictus ;10
Ed20_KC_P21;Edea;Ae. albopictus ;11
Ed20_KC_P22;Edea;Ae. albopictus ;11
Ed20_KC_P23;Edea;Ae. albopictus ;12
Ed20_KC_P24;Edea;Ae. albopictus ;12
Ed20_KC_P25;Edea;Ae. albopictus ;13
Ed20_KC_P26;Edea;Ae. albopictus ;13
Bu20_KC_P29;Buea;Ae. albopictus ;14
Bu20_KC_P30;Buea;Ae. albopictus ;14
Bu20_KC_P31;Buea;Ae. albopictus ;15
Bu20_KC_P32;Buea;Ae. albopictus ;15
Bu20_KC_P33;Buea;Ae. albopictus ;16
Bu20_KC_P34;Buea;Ae. albopictus ;16
Bu20_KC_P35;Buea;Ae. albopictus ;17
Bu20_KC_P36;Buea;Ae. albopictus ;17
Bu20_KC_P37;Buea;Ae. albopictus ;18
Bu20_KC_P38;Buea;Ae. albopictus ;18
Bu20_KC_P39;Buea;Ae. albopictus ;19
Bu20_KC_P40;Buea;Ae. albopictus ;19
Bu20_KC_P41;Buea;Ae. albopictus ;20
Bu20_KC_P42;Buea;Ae. albopictus ;20
Ya20_KC_P43;Yaounde ;Ae. albopictus ;21
Ya20_KC_P44;Yaounde ;Ae. albopictus ;21
Ya20_KC_P45;Yaounde ;Ae. albopictus ;22
Ya20_KC_P46;Yaounde ;Ae. albopictus ;22
Ya20_KC_P47;Yaounde ;Ae. albopictus ;23
Ya20_KC_P48;Yaounde ;Ae. albopictus ;23
Ya20_KC_P49;Yaounde ;Ae. albopictus ;24
Ya20_KC_P50;Yaounde ;Ae. albopictus ;24
Ya20_KC_P51;Yaounde ;Ae. albopictus ;25
Ya20_KC_P52;Yaounde ;Ae. albopictus ;25
Ya20_KC_P53;Yaounde ;Ae. albopictus ;26
Ya20_KC_P54;Yaounde ;Ae. albopictus ;26
Ya20_KC_P55;Yaounde ;Ae. albopictus ;27
Ya20_KC_P56;Yaounde ;Ae. albopictus ;27